時刻：2016/12/22 ,,,,,,,
,,,,,,,
,世田谷,世田谷,世田谷,世田谷,世田谷,,
年月日時,風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),,
,,,風向,風向,,,
,,品質情報,,品質情報,均質番号,,
2016/12/22 10:00,9.8,0,南南東,0,1,,8.975
2016/12/22 11:00,10.1,0,南東,0,1,,南
2016/12/22 12:00,13.8,0,南南東,0,1,,
2016/12/22 13:00,12.2,0,南東,0,1,,
2016/12/22 14:00,11.8,0,南東,0,1,,
2016/12/22 15:00,12.3,0,南東,0,1,,
2016/12/22 16:00,9.1,0,南南東,0,1,,
2016/12/22 17:00,8.6,0,東南東,0,1,,
2016/12/22 18:00,8.9,0,南東,0,1,,
2016/12/22 19:00,12.1,0,南東,0,1,,
2016/12/22 20:00,9.5,0,南東,0,1,,
2016/12/22 21:00,2.8,0,西南西,0,1,,
2016/12/22 22:00,3.7,0,西南西,0,1,,
2016/12/22 23:00,1.4,0,東南東,0,1,,
2016/12/23 0:00,9.9,0,西,0,1,,
2016/12/23 1:00,7.3,0,西南西,0,1,,
2016/12/23 2:00,6.7,0,西南西,0,1,,
2016/12/23 3:00,8.8,0,西南西,0,1,,
2016/12/23 4:00,11.7,0,西南西,0,1,,
2016/12/23 5:00,9,0,西南西,0,1,,
2016/12/23 6:00,8.6,0,西南西,0,1,,
2016/12/23 7:00,10.7,0,西南西,0,1,,
2016/12/23 8:00,10.9,0,西南西,0,1,,
2016/12/23 9:00,7,0,西南西,0,1,,
